image,cat,score,bounds
../data/yolo/DSC_0249.JPG,b'fluke',0.7613818645477295,"(2105.253662109375, 1451.4295654296875, 6696.5869140625, 2828.76953125)"
../data/yolo/DSCN3464.JPG,b'fluke',0.606002151966095,"(2300.966796875, 1527.372802734375, 3738.503173828125, 481.968505859375)"
../data/yolo/DSCN3463.JPG,b'fin',0.8503358364105225,"(2382.459716796875, 1306.3314208984375, 3417.291259765625, 740.3155517578125)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.5227276682853699,"(1013.582275390625, 608.2366943359375, 796.7239379882812, 181.87254333496094)"
../data/yolo/P1010899.JPG,b'fin',0.5482574105262756,"(1339.078125, 1631.4815673828125, 1239.1273193359375, 967.7103271484375)"
../data/yolo/DSC_0246.JPG,b'fin',0.7295466661453247,"(2567.40185546875, 1432.2337646484375, 2860.91015625, 1362.58203125)"
../data/yolo/DSC_0246.JPG,b'fin',0.5697715878486633,"(2710.167236328125, 1390.0113525390625, 943.4276123046875, 1032.5174560546875)"
