image,cat,score,bounds
../data/yolo/DSCN3550.JPG,b'fin',0.8893734812736511,"(2425.838623046875, 2018.8978271484375, 1007.7269897460938, 404.87652587890625)"
../data/yolo/39442406_2128432723895845_4925007632177037312_o.jpg,b'fluke',0.9811461567878723,"(1311.8828125, 474.74407958984375, 393.7723083496094, 480.4757385253906)"
../data/yolo/DSC_0249.JPG,b'fluke',0.999016523361206,"(2095.583251953125, 1482.6475830078125, 3203.021728515625, 1305.37548828125)"
../data/yolo/DSCN3464.JPG,b'fluke',0.7142132520675659,"(2386.59765625, 1500.11865234375, 2309.348388671875, 741.7593994140625)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.83362877368927,"(1076.3154296875, 544.5018920898438, 379.6214599609375, 103.17601776123047)"
../data/yolo/DSC_0354.JPG,b'fin',0.8770239949226379,"(2023.853271484375, 889.8715209960938, 394.0173034667969, 220.33251953125)"
../data/yolo/22712470_10155616946156488_6458015603788421649_o.jpg,b'fluke',0.8695641756057739,"(812.7826538085938, 653.7919311523438, 442.58612060546875, 310.5979919433594)"
../data/yolo/DSCN3463.JPG,b'fin',0.9910027384757996,"(2310.517333984375, 1333.8026123046875, 1256.447998046875, 607.9295043945312)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.9357391595840454,"(843.5450439453125, 725.60205078125, 271.228515625, 48.76933288574219)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.9195002913475037,"(496.35400390625, 688.4440307617188, 199.4583740234375, 64.54513549804688)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.9627009630203247,"(899.456787109375, 655.5099487304688, 85.45594024658203, 26.77704620361328)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.7883838415145874,"(694.7079467773438, 644.138427734375, 120.83837890625, 27.636262893676758)"
../data/yolo/IMG-20200708-WA0055.jpg,b'fin',0.961673378944397,"(709.9512939453125, 484.7691955566406, 457.80859375, 161.56080627441406)"
../data/yolo/P1010896.JPG,b'fin',0.9218612313270569,"(1443.6015625, 1529.0345458984375, 1197.5234375, 304.58404541015625)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.6301842927932739,"(1020.767333984375, 659.5690307617188, 1428.33544921875, 317.5733337402344)"
../data/yolo/21686769_1649650445107411_1011942705135423565_o.jpg,b'fluke',0.9197403192520142,"(1238.0032958984375, 437.4741516113281, 1044.6536865234375, 639.6474609375)"
../data/yolo/P1010716.JPG,b'fin',0.7853565812110901,"(1931.4197998046875, 2306.8486328125, 459.96868896484375, 252.58810424804688)"
../data/yolo/IMG-20200708-WA0005.jpg,b'fin',0.5823410749435425,"(774.8671264648438, 605.421875, 114.0870590209961, 76.243896484375)"
../data/yolo/DSC_0358.JPG,b'fin',0.978371262550354,"(1239.417724609375, 2173.2626953125, 1344.651123046875, 242.11143493652344)"
../data/yolo/DSC_0370.JPG,b'fluke',0.886504590511322,"(2253.088134765625, 1643.3763427734375, 2823.77587890625, 738.4774169921875)"
../data/yolo/107753673_10158896654144073_1570110335365435167_n.jpg,b'fin',0.8276528716087341,"(305.35723876953125, 252.53872680664062, 111.64639282226562, 22.793243408203125)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.9576077461242676,"(722.5404052734375, 675.7300415039062, 92.95384979248047, 29.851821899414062)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.9517295360565186,"(900.6257934570312, 688.1652221679688, 75.71530151367188, 29.36473274230957)"
../data/yolo/IMG-20200708-WA0049.jpg,b'fin',0.684592068195343,"(813.1414184570312, 589.10009765625, 229.37197875976562, 55.988346099853516)"
../data/yolo/DSCN3560.JPG,b'fin',0.8777157664299011,"(2033.2802734375, 1880.18310546875, 1581.406982421875, 271.006103515625)"
../data/yolo/21273651_1630478263691296_6173816560476463869_o.jpg,b'fluke',0.7581837177276611,"(1554.8240966796875, 426.8632507324219, 342.8612060546875, 670.1902465820312)"
../data/yolo/21273651_1630478263691296_6173816560476463869_o.jpg,b'fluke',0.701241135597229,"(1520.163818359375, 422.6479797363281, 216.53248596191406, 400.12994384765625)"
../data/yolo/P1010899.JPG,b'fin',0.9889997839927673,"(1365.8402099609375, 1650.470458984375, 1416.6075439453125, 435.4463806152344)"
../data/yolo/71100678_3035251603213948_5235695876923457536_o.jpg,b'fluke',0.9357436299324036,"(518.3382568359375, 732.4802856445312, 528.9180297851562, 254.16949462890625)"
../data/yolo/DSC_0246.JPG,b'fin',0.9855705499649048,"(2579.636474609375, 1423.436279296875, 1550.15966796875, 551.304443359375)"
