image,cat,score,bounds
../data/yolo/DSCN3550.JPG,b'fluke',0.6464567184448242,"(2543.9423828125, 2059.21728515625, 890.5377197265625, 457.19818115234375)"
../data/yolo/103129295_2909941969053835_211613038503728080_n.jpg,b'fluke',0.9779074788093567,"(212.1124725341797, 216.0433349609375, 290.3734130859375, 180.2697296142578)"
../data/yolo/39442406_2128432723895845_4925007632177037312_o.jpg,b'fluke',0.9957149028778076,"(1332.642578125, 478.927978515625, 425.65478515625, 527.1032104492188)"
../data/yolo/DSC_0249.JPG,b'fluke',0.9972169995307922,"(2072.948974609375, 1447.23388671875, 3135.88818359375, 1276.7784423828125)"
../data/yolo/50802628_10156731120161488_3629435463212728320_o.jpg,b'fluke',0.6800412535667419,"(846.4777221679688, 330.5734558105469, 2042.8388671875, 768.385986328125)"
../data/yolo/DSCN3464.JPG,b'fluke',0.9915452599525452,"(2401.578857421875, 1481.017333984375, 1853.4881591796875, 641.2715454101562)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.9414812326431274,"(1084.0010986328125, 546.3944702148438, 396.6163635253906, 110.80813598632812)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.6422072649002075,"(662.2733764648438, 649.5232543945312, 336.2688903808594, 119.05582427978516)"
../data/yolo/DSC_0354.JPG,b'fin',0.7919037938117981,"(2006.6710205078125, 900.899658203125, 500.232421875, 255.8607177734375)"
../data/yolo/22712470_10155616946156488_6458015603788421649_o.jpg,b'fluke',0.9878501892089844,"(807.8438110351562, 666.9413452148438, 422.4920654296875, 361.06427001953125)"
../data/yolo/DSCN3463.JPG,b'fin',0.784014880657196,"(2286.59716796875, 1322.23291015625, 1268.9925537109375, 726.1019897460938)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.9058497548103333,"(841.35693359375, 725.9336547851562, 246.01597595214844, 73.27044677734375)"
../data/yolo/DSCN3378.JPG,b'fin',0.819797158241272,"(1838.09033203125, 1488.96240234375, 943.7586059570312, 369.05194091796875)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.8740025162696838,"(693.2388916015625, 646.5527954101562, 130.5245819091797, 30.121374130249023)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.6338220834732056,"(900.1854858398438, 654.3053588867188, 64.29769134521484, 28.300004959106445)"
../data/yolo/IMG-20200708-WA0055.jpg,b'fin',0.7484861016273499,"(717.1106567382812, 490.1199951171875, 429.15240478515625, 215.2059326171875)"
../data/yolo/P1010896.JPG,b'fin',0.9191389679908752,"(1476.2879638671875, 1523.0279541015625, 1108.3074951171875, 368.9654541015625)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.8486914038658142,"(1048.7613525390625, 620.5342407226562, 1275.4906005859375, 322.0824279785156)"
../data/yolo/21686769_1649650445107411_1011942705135423565_o.jpg,b'fluke',0.9647903442382812,"(1223.372314453125, 452.002685546875, 1196.2926025390625, 655.24365234375)"
../data/yolo/P1010716.JPG,b'fin',0.6694638729095459,"(1970.7427978515625, 2306.314208984375, 505.0635681152344, 229.27261352539062)"
../data/yolo/DSC_0358.JPG,b'fin',0.9037744402885437,"(1233.767333984375, 2173.471435546875, 1286.77197265625, 247.45986938476562)"
../data/yolo/DSC_0370.JPG,b'fluke',0.8508667945861816,"(2403.69384765625, 1624.7701416015625, 3389.198486328125, 916.4832763671875)"
../data/yolo/107753673_10158896654144073_1570110335365435167_n.jpg,b'fin',0.5561187863349915,"(298.2651062011719, 251.8939971923828, 89.40673828125, 34.76268005371094)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.8878762722015381,"(717.817138671875, 675.1004028320312, 126.52115631103516, 26.203256607055664)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.7356851100921631,"(901.5863647460938, 686.00927734375, 78.51005554199219, 29.14581871032715)"
../data/yolo/DSCN3560.JPG,b'fin',0.73501056432724,"(2054.951416015625, 1888.937744140625, 1899.9842529296875, 237.9285888671875)"
../data/yolo/21273651_1630478263691296_6173816560476463869_o.jpg,b'fluke',0.9128265380859375,"(1561.8067626953125, 427.65032958984375, 513.9559936523438, 586.242431640625)"
../data/yolo/P1010899.JPG,b'fin',0.9099642634391785,"(1381.672119140625, 1641.5220947265625, 1447.364501953125, 370.78717041015625)"
../data/yolo/71100678_3035251603213948_5235695876923457536_o.jpg,b'fluke',0.9322343468666077,"(529.2338256835938, 732.3399047851562, 538.4431762695312, 252.20249938964844)"
