image,cat,score,bounds
../data/yolo/DSCN3550.JPG,b'fluke',0.8279843926429749,"(2500.47412109375, 2060.482177734375, 925.7152709960938, 421.3315124511719)"
../data/yolo/103129295_2909941969053835_211613038503728080_n.jpg,b'fluke',0.9836359620094299,"(209.75186157226562, 217.64608764648438, 257.033935546875, 188.3190155029297)"
../data/yolo/39442406_2128432723895845_4925007632177037312_o.jpg,b'fluke',0.998332142829895,"(1318.7811279296875, 471.67486572265625, 407.69805908203125, 449.4974060058594)"
../data/yolo/DSC_0249.JPG,b'fluke',0.9999730587005615,"(2123.9443359375, 1438.1121826171875, 3055.77099609375, 1158.0986328125)"
../data/yolo/DSCN3464.JPG,b'fluke',0.9940084218978882,"(2404.678466796875, 1515.925537109375, 2209.83544921875, 727.8991088867188)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.9507560133934021,"(1079.1744384765625, 553.217041015625, 400.4563903808594, 112.67808532714844)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.7401405572891235,"(670.0213623046875, 649.6974487304688, 378.57366943359375, 108.16448211669922)"
../data/yolo/66277214_2816895768382867_7231369026763489280_o.jpg,b'fluke',0.7639754414558411,"(1144.970458984375, 790.5682373046875, 893.7745971679688, 271.3106689453125)"
../data/yolo/DSC_0354.JPG,b'fin',0.9816846251487732,"(2024.45556640625, 890.0928344726562, 433.6032409667969, 229.8765869140625)"
../data/yolo/22712470_10155616946156488_6458015603788421649_o.jpg,b'fluke',0.9977691173553467,"(815.8594360351562, 649.0493774414062, 447.2594299316406, 356.9061279296875)"
../data/yolo/DSCN3463.JPG,b'fin',0.9957255125045776,"(2306.940185546875, 1334.590087890625, 1348.032958984375, 635.1044311523438)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.9932356476783752,"(847.427001953125, 725.347412109375, 237.4955596923828, 50.27524948120117)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.9533484578132629,"(496.9796142578125, 689.3853149414062, 178.34967041015625, 67.50254821777344)"
../data/yolo/DSCN3378.JPG,b'fin',0.6333537101745605,"(1821.03466796875, 1486.634765625, 875.2428588867188, 397.4458923339844)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.9950396418571472,"(695.552734375, 646.1600341796875, 107.7076187133789, 31.12436294555664)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.9401371479034424,"(901.6536865234375, 657.395751953125, 95.75211334228516, 26.449193954467773)"
../data/yolo/IMG-20200708-WA0055.jpg,b'fin',0.9608542323112488,"(719.73876953125, 479.4625244140625, 484.7267761230469, 177.51551818847656)"
../data/yolo/P1010896.JPG,b'fin',0.9782664179801941,"(1466.911376953125, 1523.115478515625, 1152.556396484375, 385.26702880859375)"
../data/yolo/P1010828.JPG,b'fin',0.6699859499931335,"(1737.3055419921875, 923.5205078125, 540.6356811523438, 154.47320556640625)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.6746112704277039,"(1042.051025390625, 655.0787353515625, 1373.375244140625, 332.3932800292969)"
../data/yolo/21686769_1649650445107411_1011942705135423565_o.jpg,b'fluke',0.9654861688613892,"(1242.0257568359375, 452.92041015625, 940.8164672851562, 601.8822631835938)"
../data/yolo/P1010716.JPG,b'fin',0.9730070233345032,"(1916.447509765625, 2305.72802734375, 439.4275207519531, 263.1608581542969)"
../data/yolo/DSC_0358.JPG,b'fin',0.9955978989601135,"(1217.029296875, 2174.895263671875, 1526.4620361328125, 253.1603240966797)"
../data/yolo/DSC_0383.JPG,b'fin',0.8712499737739563,"(1725.6622314453125, 1811.22607421875, 2739.638427734375, 992.1290893554688)"
../data/yolo/DSC_0370.JPG,b'fluke',0.9845390915870667,"(2362.58935546875, 1621.885009765625, 2823.215576171875, 858.7939453125)"
../data/yolo/107753673_10158896654144073_1570110335365435167_n.jpg,b'fin',0.9613220691680908,"(305.45648193359375, 252.64315795898438, 112.00789642333984, 24.02525520324707)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.9347309470176697,"(900.20361328125, 688.5003662109375, 106.16446685791016, 31.053882598876953)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.8401322364807129,"(718.4880981445312, 678.0325927734375, 81.83831024169922, 28.582386016845703)"
../data/yolo/IMG-20200708-WA0049.jpg,b'fin',0.7442551255226135,"(813.1669311523438, 589.7900390625, 230.26397705078125, 53.637359619140625)"
../data/yolo/P1010902.JPG,b'fin',0.8682406544685364,"(2750.131103515625, 1676.9892578125, 1334.921142578125, 259.5308837890625)"
../data/yolo/DSCN3560.JPG,b'fin',0.946602463722229,"(2046.906982421875, 1887.5352783203125, 1642.47216796875, 287.12164306640625)"
../data/yolo/21273651_1630478263691296_6173816560476463869_o.jpg,b'fluke',0.9916319251060486,"(1559.02001953125, 431.3978576660156, 447.4283142089844, 654.1154174804688)"
../data/yolo/P1010899.JPG,b'fin',0.844791829586029,"(1391.814453125, 1638.494140625, 1355.3046875, 388.1706848144531)"
../data/yolo/71100678_3035251603213948_5235695876923457536_o.jpg,b'fluke',0.9504629373550415,"(515.5131225585938, 729.2987670898438, 552.9097900390625, 356.1258544921875)"
../data/yolo/IMG-20200708-WA0014.jpg,b'fin',0.7858997583389282,"(792.6846313476562, 615.3399658203125, 269.0248107910156, 45.162803649902344)"
../data/yolo/DSC_0246.JPG,b'fin',0.9535067081451416,"(2576.170654296875, 1413.85302734375, 1479.6343994140625, 503.0150146484375)"
