image,cat,score,bounds
../data/yolo/DSCN3550.JPG,b'fluke',0.5857039093971252,"(2561.601318359375, 2028.5733642578125, 1149.8172607421875, 417.7227783203125)"
../data/yolo/39442406_2128432723895845_4925007632177037312_o.jpg,b'fluke',0.6121140122413635,"(1298.095703125, 472.2665100097656, 237.81283569335938, 644.5316772460938)"
../data/yolo/DSC_0249.JPG,b'fluke',0.7870450615882874,"(2149.488525390625, 1406.1407470703125, 4311.4150390625, 1569.114990234375)"
../data/yolo/DSCN3464.JPG,b'fluke',0.6172574162483215,"(2363.453857421875, 1514.1439208984375, 1806.49169921875, 700.4454956054688)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.5379239320755005,"(1115.8729248046875, 539.9126586914062, 434.05657958984375, 211.12548828125)"
../data/yolo/DSC_0354.JPG,b'fin',0.577369213104248,"(2008.4166259765625, 900.4403686523438, 369.0016784667969, 261.6008605957031)"
../data/yolo/22712470_10155616946156488_6458015603788421649_o.jpg,b'fluke',0.6016910076141357,"(824.2178955078125, 673.7586669921875, 429.8771667480469, 345.6506042480469)"
../data/yolo/DSCN3378.JPG,b'fin',0.7805378437042236,"(1867.9832763671875, 1458.333984375, 2524.389892578125, 349.68365478515625)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.8763589262962341,"(694.660888671875, 651.4957885742188, 217.23934936523438, 59.657901763916016)"
../data/yolo/P1010896.JPG,b'fin',0.9045121669769287,"(1528.921630859375, 1521.265625, 2353.473388671875, 428.9669189453125)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.6544261574745178,"(1001.5311889648438, 600.3943481445312, 724.1444702148438, 347.2227478027344)"
../data/yolo/IMG-20200708-WA0005.jpg,b'fin',0.6437841653823853,"(761.29150390625, 609.7286376953125, 176.97898864746094, 78.51798248291016)"
../data/yolo/DSC_0358.JPG,b'fin',0.6159301400184631,"(1237.46728515625, 2148.7314453125, 2762.51416015625, 429.4028015136719)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.8329319357872009,"(719.1500854492188, 677.233642578125, 114.9913558959961, 42.57228469848633)"
../data/yolo/71100678_3035251603213948_5235695876923457536_o.jpg,b'fluke',0.7156287431716919,"(503.3351135253906, 751.220703125, 621.9857788085938, 544.9050903320312)"
