image,cat,score,bounds
../data/yolo/103129295_2909941969053835_211613038503728080_n.jpg,b'fluke',0.741380512714386,"(206.7660369873047, 216.59237670898438, 340.796630859375, 168.79786682128906)"
../data/yolo/39442406_2128432723895845_4925007632177037312_o.jpg,b'fluke',0.7862086296081543,"(1283.974853515625, 459.43743896484375, 360.0710754394531, 394.0164794921875)"
../data/yolo/DSC_0249.JPG,b'fluke',0.9877495169639587,"(2060.7578125, 1452.17919921875, 3814.48583984375, 1325.5926513671875)"
../data/yolo/DSCN3464.JPG,b'fluke',0.7435468435287476,"(2357.186279296875, 1494.996826171875, 2146.738037109375, 712.7686767578125)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.7879196405410767,"(1085.908447265625, 553.5017700195312, 408.39044189453125, 106.34387969970703)"
../data/yolo/DSC_0354.JPG,b'fin',0.8588716983795166,"(2016.42236328125, 896.518798828125, 395.2006530761719, 178.769775390625)"
../data/yolo/DSCN3463.JPG,b'fin',0.9180135726928711,"(2217.718017578125, 1271.669677734375, 1281.498779296875, 583.3388671875)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.7247363924980164,"(499.9336853027344, 687.77783203125, 176.74453735351562, 46.733646392822266)"
../data/yolo/DSCN3378.JPG,b'fin',0.5010329484939575,"(1720.3623046875, 1446.54833984375, 1385.4913330078125, 308.5009765625)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.7828760743141174,"(700.5730590820312, 647.2837524414062, 119.57251739501953, 31.057706832885742)"
../data/yolo/IMG-20200708-WA0055.jpg,b'fin',0.937398374080658,"(703.2203369140625, 438.0436706542969, 435.9219665527344, 141.11009216308594)"
../data/yolo/P1010896.JPG,b'fin',0.9108397960662842,"(1490.871826171875, 1510.5159912109375, 1267.0201416015625, 362.96282958984375)"
../data/yolo/P1010828.JPG,b'fin',0.5987715721130371,"(1747.2119140625, 939.8329467773438, 457.44232177734375, 181.2833709716797)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.6647435426712036,"(1162.3780517578125, 611.8418579101562, 1257.381103515625, 311.54412841796875)"
../data/yolo/21686769_1649650445107411_1011942705135423565_o.jpg,b'fluke',0.932223379611969,"(1236.73876953125, 466.1489562988281, 1607.171630859375, 528.6311645507812)"
../data/yolo/DSC_0358.JPG,b'fin',0.9368049502372742,"(1238.9876708984375, 2186.546142578125, 1575.8948974609375, 359.6468811035156)"
../data/yolo/DSC_0370.JPG,b'fluke',0.5671429634094238,"(2230.83447265625, 1623.8062744140625, 3714.77978515625, 972.4907836914062)"
../data/yolo/P1010902.JPG,b'fin',0.6715914607048035,"(2761.536865234375, 1651.345703125, 1862.196533203125, 310.4827880859375)"
../data/yolo/DSCN3560.JPG,b'fin',0.5294314026832581,"(2050.16455078125, 1869.47998046875, 1845.88525390625, 302.58172607421875)"
../data/yolo/P1010899.JPG,b'fin',0.7122763395309448,"(1361.50146484375, 1652.0712890625, 1303.3035888671875, 517.794921875)"
../data/yolo/71100678_3035251603213948_5235695876923457536_o.jpg,b'fluke',0.8658974766731262,"(510.3663330078125, 732.1022338867188, 708.2128295898438, 348.8011779785156)"
../data/yolo/DSC_0246.JPG,b'fin',0.9467179179191589,"(2524.236328125, 1342.675537109375, 1335.8759765625, 517.7965087890625)"
